,p_resolution,p_experiment,p_doi,p_chemicals,p_chain_uniprot_map,p_chains,p_pmid,p_space_group,p_deposition_date,p_ec_numbers
3X21,3.0,X-RAY DIFFRACTION,10.1002/CBIC.201500070,['FMN'],"{'A': ['P38489'], 'C': ['P38489'], 'B': ['P38489'], 'E': ['P38489'], 'D': ['P38489'], 'G': ['P38489'], 'F': ['P38489'], 'I': ['P38489'], 'H': ['P38489'], 'J': ['P38489']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'J']",25917861,P 1 21 1,06-DEC-14,"[('A', ['1.5.1.34']), ('C', ['1.5.1.34']), ('B', ['1.5.1.34']), ('E', ['1.5.1.34']), ('D', ['1.5.1.34']), ('G', ['1.5.1.34']), ('F', ['1.5.1.34']), ('I', ['1.5.1.34']), ('H', ['1.5.1.34']), ('J', ['1.5.1.34'])]"
3X22,2.0,X-RAY DIFFRACTION,10.1016/J.PROCBIO.2015.08.012,['FMN'],"{'A': ['P38489'], 'B': ['P38489']}","['A', 'B']",,P 41 21 2,06-DEC-14,"[('A', ['1.5.1.34']), ('B', ['1.5.1.34'])]"
3ZE3,2.05,X-RAY DIFFRACTION,10.1038/NATURE12179,"['ACT', '78M', 'FLC', '78N', 'NA', 'ZN']","{'A': ['P0ABN1'], 'C': ['P0ABN1'], 'B': ['P0ABN1'], 'E': ['P0ABN1'], 'D': ['P0ABN1'], 'F': ['P0ABN1']}","['C', 'A', 'B', 'E', 'D', 'F']",23676677,P 21 21 21,03-DEC-12,"[('C', ['2.7.1.107']), ('A', ['2.7.1.107']), ('B', ['2.7.1.107']), ('E', ['2.7.1.107']), ('D', ['2.7.1.107']), ('F', ['2.7.1.107'])]"
3ZE4,3.7,X-RAY DIFFRACTION,10.1038/NATURE12179,,"{'A': ['P0ABN1'], 'C': ['P0ABN1'], 'B': ['P0ABN1']}","['A', 'C', 'B']",23676677,P 31 2 1,03-DEC-12,"[('A', ['2.7.1.107']), ('C', ['2.7.1.107']), ('B', ['2.7.1.107'])]"
3ZE5,3.1,X-RAY DIFFRACTION,10.1038/NATURE12179,,"{'A': ['P0ABN1'], 'C': ['P0ABN1'], 'B': ['P0ABN1']}","['A', 'C', 'B']",23676677,P 31 2 1,03-DEC-12,"[('A', ['2.7.1.107']), ('C', ['2.7.1.107']), ('B', ['2.7.1.107'])]"
3ZGL,1.68,X-RAY DIFFRACTION,,"['10E', 'SF4']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",,C 1 2 1,18-DEC-12,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3ZGN,1.95,X-RAY DIFFRACTION,,"['10G', 'SF4']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",,C 1 2 1,18-DEC-12,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3ZGZ,2.4,X-RAY DIFFRACTION,10.1038/NCOMMS2421,"['84T', 'ZN', 'MG']","{'A': ['P07813'], 'B': ['PDB-B'], 'E': ['PDB-E'], 'D': ['P07813']}","['A', 'B', 'E', 'D']",23361008,C 1 2 1,19-DEC-12,"[('A', ['6.1.1.4']), ('D', ['6.1.1.4'])]"
3ZJT,2.2,X-RAY DIFFRACTION,10.1128/AAC.02058-12,"['MG', '574']","{'A': ['P07813'], 'B': ['PDB-B']}","['A', 'B']",23295920,P 21 21 21,18-JAN-13,"[('A', ['6.1.1.4'])]"
3ZJU,2.4,X-RAY DIFFRACTION,10.1128/AAC.02058-12,"['MG', 'DJF']","{'A': ['P07813'], 'B': ['PDB-B']}","['A', 'B']",23295920,P 21 21 21,18-JAN-13,"[('A', ['6.1.1.4'])]"
3ZJV,2.31,X-RAY DIFFRACTION,10.1128/AAC.02058-12,['365'],"{'A': ['P07813'], 'B': ['PDB-B']}","['A', 'B']",23295920,P 1 21 1,18-JAN-13,"[('A', ['6.1.1.4'])]"
3ZZJ,2.5,X-RAY DIFFRACTION,10.1016/J.BBAPAP.2011.10.016,"['SO4', 'GOL', 'PLP', 'BME', 'PEG']",{'A': ['P00509']},['A'],22138634,C 2 2 21,01-SEP-11,"[('A', ['2.6.1.1'])]"
3ZZK,1.78,X-RAY DIFFRACTION,10.1016/J.BBAPAP.2011.10.016,"['SO4', 'GOL', 'PMP']",{'A': ['P00509']},['A'],22138634,C 2 2 21,01-SEP-11,"[('A', ['2.6.1.1'])]"
4A00,2.34,X-RAY DIFFRACTION,10.1016/J.BBAPAP.2011.10.016,"['GOL', 'PEG', 'PP3']",{'A': ['P00509']},['A'],22138634,C 2 2 21,06-SEP-11,"[('A', ['2.6.1.1'])]"
4A2C,1.87,X-RAY DIFFRACTION,10.1016/J.FEBSLET.2012.07.073,"['NI', 'ZN']","{'A': ['P0A9S3'], 'B': ['P0A9S3']}","['A', 'B']",22979983,P 1 21 1,26-SEP-11,"[('A', ['1.1.1.251']), ('B', ['1.1.1.251'])]"
4A2I,16.5,ELECTRON MICROSCOPY,10.1261/RNA.2922311,,"{'A': ['PDB-A'], 'C': ['P0A7V3'], 'B': ['P0A7V0'], 'E': ['P0A7W1'], 'D': ['P0A7V8'], 'G': ['P02359'], 'F': ['P02358'], 'I': ['P0A7X3'], 'H': ['P0A7W7'], 'K': ['P0A7R9'], 'J': ['P0A7R5'], 'M': ['P0A7S9'], 'L': ['P0A7S3'], 'O': ['P0ADZ4'], 'N': ['P0AG62'], 'Q': ['P0AG65'], 'P': ['P0A7T3'], 'S': ['P0A7U3'], 'R': ['P0A7T7'], 'U': ['P68679'], 'T': ['P0A7U7'], 'V': ['P39286']}","['V', 'A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N', 'Q', 'P', 'R', 'U', 'S', 'T']",21960487,P 1,27-SEP-11,
4A8D,28.0,ELECTRON MICROSCOPY,10.1038/NSMB.2210,,"{'A': ['P0C0V0'], 'C': ['P0C0V0'], 'B': ['P0C0V0'], 'E': ['P0C0V0'], 'D': ['P0C0V0'], 'G': ['P0C0V0'], 'F': ['P0C0V0'], 'I': ['P0C0V0'], 'H': ['P0C0V0'], 'K': ['P0C0V0'], 'J': ['P0C0V0'], 'M': ['P06996'], 'L': ['P0C0V0']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L']",22245966,P 1,20-NOV-11,"[('A', ['3.4.21.107']), ('C', ['3.4.21.107']), ('B', ['3.4.21.107']), ('E', ['3.4.21.107']), ('D', ['3.4.21.107']), ('G', ['3.4.21.107']), ('F', ['3.4.21.107']), ('I', ['3.4.21.107']), ('H', ['3.4.21.107']), ('K', ['3.4.21.107']), ('J', ['3.4.21.107']), ('L', ['3.4.21.107'])]"
4AA7,2.0,X-RAY DIFFRACTION,10.1016/J.BMCL.2012.01.016,"['SO4', 'R82']","{'A': ['P0ACC7'], 'B': ['P0ACC7']}","['A', 'B']",22297115,P 63,30-NOV-11,"[('A', ['2.3.1.157', '2.7.7.23']), ('B', ['2.3.1.157', '2.7.7.23'])]"
4ADB,2.2,X-RAY DIFFRACTION,10.1371/JOURNAL.PONE.0058298,"['NA', 'MG', 'PLP']","{'A': ['P77581'], 'C': ['P77581'], 'B': ['P77581'], 'D': ['P77581']}","['A', 'C', 'B', 'D']",23484010,C 1 2 1,23-DEC-11,"[('A', ['2.6.1.17', '2.6.1.81']), ('C', ['2.6.1.17', '2.6.1.81']), ('B', ['2.6.1.17', '2.6.1.81']), ('D', ['2.6.1.17', '2.6.1.81'])]"
4ADC,2.3,X-RAY DIFFRACTION,10.1371/JOURNAL.PONE.0058298,"['NA', 'MG', 'PLP']","{'A': ['P77581'], 'C': ['P77581'], 'B': ['P77581'], 'D': ['P77581']}","['A', 'C', 'B', 'D']",23484010,C 1 2 1,23-DEC-11,"[('A', ['2.6.1.81', '2.6.1.17']), ('C', ['2.6.1.81', '2.6.1.17']), ('B', ['2.6.1.81', '2.6.1.17']), ('D', ['2.6.1.81', '2.6.1.17'])]"
4ADD,2.45,X-RAY DIFFRACTION,10.1371/JOURNAL.PONE.0058298,"['SUO', 'PLP']","{'A': ['P77581'], 'C': ['P77581'], 'B': ['P77581'], 'D': ['P77581']}","['A', 'C', 'B', 'D']",23484010,C 1 2 1,23-DEC-11,"[('A', ['2.6.1.17', '2.6.1.81']), ('C', ['2.6.1.17', '2.6.1.81']), ('B', ['2.6.1.17', '2.6.1.81']), ('D', ['2.6.1.17', '2.6.1.81'])]"
4ADE,2.75,X-RAY DIFFRACTION,10.1371/JOURNAL.PONE.0058298,,"{'A': ['P77581'], 'B': ['P77581']}","['A', 'B']",23484010,H 3 2,23-DEC-11,"[('A', ['2.6.1.17', '2.6.1.81']), ('B', ['2.6.1.17', '2.6.1.81'])]"
4AJ3,1.9,X-RAY DIFFRACTION,10.1021/BI300483W,"['ICT', 'CA', 'NAP']",{'A': ['P08200']},['A'],22891681,P 43 21 2,15-FEB-12,"[('A', ['1.1.1.42'])]"
4AJA,1.8,X-RAY DIFFRACTION,10.1021/BI300483W,"['SO4', 'TAP', 'ICT', 'CA']",{'A': ['P08200']},['A'],22891681,P 43 21 2,16-FEB-12,"[('A', ['1.1.1.42'])]"
4AJB,1.9,X-RAY DIFFRACTION,10.1021/BI300483W,"['SO4', 'MG', 'TAP', 'ICT']",{'A': ['P08200']},['A'],22891681,P 43 21 2,16-FEB-12,"[('A', ['1.1.1.42'])]"
4AJC,2.3,X-RAY DIFFRACTION,10.1021/BI300483W,"['A2P', 'SO4', 'AKG', 'CA']",{'A': ['P08200']},['A'],22891681,P 43 21 2,16-FEB-12,"[('A', ['1.1.1.42'])]"
4AJR,2.69,X-RAY DIFFRACTION,10.1021/BI300483W,"['MG', 'NMN', 'AKG', 'NAP']",{'A': ['P08200']},['A'],22891681,P 43 21 2,17-FEB-12,"[('A', ['1.1.1.42'])]"
4AJS,1.8,X-RAY DIFFRACTION,10.1021/BI300483W,"['A2P', 'MG', 'SO4', 'NMN', 'ICT']",{'A': ['P08200']},['A'],22891681,P 43 21 2,17-FEB-12,
4AKE,2.2,X-RAY DIFFRACTION,10.1016/S0969-2126(96)00018-4,,"{'A': ['P69441'], 'B': ['P69441']}","['A', 'B']",8805521,P 1,29-DEC-95,"[('A', ['2.7.4.3']), ('B', ['2.7.4.3'])]"
4AMV,2.05,X-RAY DIFFRACTION,10.1074/JBC.M511689200,['F6R'],"{'A': ['P17169'], 'C': ['P17169'], 'B': ['P17169']}","['A', 'C', 'B']",16339762,C 1 2 1,14-MAR-12,"[('A', ['2.6.1.16']), ('C', ['2.6.1.16']), ('B', ['2.6.1.16'])]"
4AOK,1.5,X-RAY DIFFRACTION,,['3A5'],"{'A': ['P0A790'], 'B': ['P0A790'], 'E': ['P0A790'], 'D': ['P0A790']}","['A', 'B', 'D', 'E']",,P 61 2 2,28-MAR-12,"[('A', ['4.1.1.11']), ('B', ['4.1.1.11']), ('D', ['4.1.1.11']), ('E', ['4.1.1.11'])]"
4AON,1.5,X-RAY DIFFRACTION,,"['GLU', 'PYR']","{'A': ['P0A790'], 'B': ['P0A790'], 'E': ['P0A790'], 'D': ['P0A790']}","['A', 'B', 'D', 'E']",,P 61 2 2,29-MAR-12,"[('A', ['4.1.1.11']), ('B', ['4.1.1.11']), ('D', ['4.1.1.11']), ('E', ['4.1.1.11'])]"
4AOP,1.8,X-RAY DIFFRACTION,10.1021/BI971065Q,"['SF4', 'SRM', 'K', 'PO4']",{'A': ['P17846']},['A'],9315848,P 21 21 21,09-JUL-97,"[('A', ['1.8.1.2'])]"
4AQ4,1.8,X-RAY DIFFRACTION,10.1111/MMI.12025,"['G3P', 'MG', 'GOL', 'CD', 'CO']",{'A': ['P0AG80']},['A'],23013274,P 43 21 2,13-APR-12,
4AQ7,2.5,X-RAY DIFFRACTION,10.1038/NSMB.2317,"['ZN', 'MG', 'LMS', 'LEU']","{'A': ['P07813'], 'B': ['PDB-B'], 'E': ['PDB-E'], 'D': ['P07813']}","['A', 'B', 'E', 'D']",22683997,C 1 2 1,13-APR-12,"[('A', ['6.1.1.4']), ('D', ['6.1.1.4'])]"
4ARC,2.0,X-RAY DIFFRACTION,10.1038/NSMB.2317,"['MG', 'LEU']","{'A': ['P07813'], 'B': ['PDB-B']}","['A', 'B']",22683997,P 21 21 21,23-APR-12,"[('A', ['6.1.1.4'])]"
4ARI,2.08,X-RAY DIFFRACTION,10.1038/NSMB.2317,"['GOL', 'MG', 'N79']","{'A': ['P07813'], 'B': ['PDB-B']}","['A', 'B']",22683997,P 21 21 21,24-APR-12,"[('A', ['6.1.1.4'])]"
4AS1,2.02,X-RAY DIFFRACTION,10.1038/NSMB.2317,"['MG', 'N79']","{'A': ['P07813'], 'B': ['PDB-B']}","['A', 'B']",22683997,P 1 21 1,27-APR-12,"[('A', ['6.1.1.4'])]"
4AST,2.38,X-RAY DIFFRACTION,10.1016/J.CBI.2012.10.008,,"{'A': ['Q46851'], 'C': ['Q46851'], 'B': ['Q46851'], 'E': ['Q46851'], 'D': ['Q46851'], 'G': ['Q46851'], 'F': ['Q46851'], 'H': ['Q46851']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",23103600,P 1 21 1,03-MAY-12,
4AT1,2.6,X-RAY DIFFRACTION,10.1021/BI00485A019,"['ZN', 'ATP']","{'A': ['P0A786'], 'C': ['P0A786'], 'B': ['P0A7F3'], 'D': ['P0A7F3']}","['A', 'B', 'C', 'D']",2271528,P 3 2 1,26-APR-90,"[('A', ['2.1.3.2']), ('C', ['2.1.3.2'])]"
4ATV,3.5,X-RAY DIFFRACTION,10.1085/JGP.201411219,"['MSE', 'SO4', 'LMU']","{'A': ['P13738'], 'C': ['P13738'], 'B': ['P13738'], 'D': ['P13738']}","['A', 'C', 'B', 'D']",25422503,P 1 21 1,10-MAY-12,
4AU5,3.7,X-RAY DIFFRACTION,10.1085/JGP.201411219,"['SO4', 'LMU']","{'A': ['P13738'], 'C': ['P13738'], 'B': ['P13738'], 'D': ['P13738']}","['A', 'C', 'B', 'D']",25422503,P 1 21 1,14-MAY-12,
4AUB,2.05,X-RAY DIFFRACTION,10.1016/J.CBI.2012.10.008,"['NAP', 'FLC']","{'A': ['Q46851'], 'C': ['Q46851'], 'B': ['Q46851'], 'E': ['Q46851'], 'D': ['Q46851'], 'G': ['Q46851'], 'F': ['Q46851'], 'H': ['Q46851']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",23103600,P 1 21 1,16-MAY-12,
4AZD,1.62,X-RAY DIFFRACTION,10.1107/S1399004713034275,['MLI'],"{'A': ['P0A790'], 'B': ['P0A790']}","['A', 'B']",24699660,P 61 2 2,25-JUN-12,"[('A', ['4.1.1.11']), ('B', ['4.1.1.11'])]"
4B3N,3.3,X-RAY DIFFRACTION,10.1073/PNAS.1210903109,"['MES', 'MAL']","{'A': ['P0AEX9', 'Q0PF16'], 'B': ['P0AEX9', 'Q0PF16']}","['A', 'B']",23091002,C 1 2 1,25-JUL-12,
4B54,2.8,X-RAY DIFFRACTION,10.1128/JB.02057-12,['ACT'],"{'A': ['P0ADV9'], 'B': ['P0ADV9']}","['A', 'B']",23292770,P 21 21 21,02-AUG-12,
4BFL,1.64,X-RAY DIFFRACTION,,"['EDO', 'HEM']","{'A': ['P21179'], 'C': ['P21179'], 'B': ['P21179'], 'D': ['P21179']}","['A', 'C', 'B', 'D']",,P 1 21 1,19-MAR-13,"[('A', ['1.11.1.6']), ('C', ['1.11.1.6']), ('B', ['1.11.1.6']), ('D', ['1.11.1.6'])]"
4BHT,2.5,X-RAY DIFFRACTION,10.1111/FEBS.12439,"['EPE', 'GOL', 'PG4']","{'A': ['P00370'], 'C': ['P00370'], 'B': ['P00370'], 'E': ['P00370'], 'D': ['P00370'], 'F': ['P00370']}","['A', 'C', 'B', 'E', 'D', 'F']",23879525,P 21 21 21,06-APR-13,"[('A', ['1.4.1.4']), ('C', ['1.4.1.4']), ('B', ['1.4.1.4']), ('E', ['1.4.1.4']), ('D', ['1.4.1.4']), ('F', ['1.4.1.4'])]"
4BIN,2.49,X-RAY DIFFRACTION,10.1111/MMI.12361,"['ZN', 'NA']",{'A': ['P63883']},['A'],23927005,P 21 21 21,12-APR-13,"[('A', ['3.5.1.28'])]"
4BL8,3.04,X-RAY DIFFRACTION,10.1107/S0907444913028473,['MAL'],"{'A': ['P0AEX9', 'Q9UMX1'], 'B': ['P0AEX9', 'Q9UMX1']}","['A', 'B']",24311597,P 21 21 21,02-MAY-13,
4BL9,2.8,X-RAY DIFFRACTION,10.1107/S0907444913028473,['MAL'],"{'A': ['P0AEX9', 'Q9UMX1'], 'C': ['P0AEX9', 'Q9UMX1'], 'B': ['P0AEX9', 'Q9UMX1'], 'D': ['P0AEX9', 'Q9UMX1']}","['A', 'C', 'B', 'D']",24311597,P 1,02-MAY-13,
4BLA,3.5,X-RAY DIFFRACTION,10.1107/S0907444913028473,,"{'A': ['P0AEX9', 'Q9UMX1'], 'C': ['P0AEX9', 'Q9UMX1'], 'B': ['P0AEX9', 'Q9UMX1'], 'D': ['P0AEX9', 'Q9UMX1']}","['A', 'C', 'B', 'D']",24311597,P 21 21 2,02-MAY-13,
4BLB,2.8,X-RAY DIFFRACTION,10.1107/S0907444913028473,"['ZN', 'MAL']","{'A': ['P0AEX9', 'Q9UMX1'], 'C': ['P0AEX9', 'Q9UMX1'], 'B': ['P0AEX9', 'Q9UMX1'], 'E': ['P08151'], 'D': ['P0AEX9', 'Q9UMX1'], 'G': ['P08151'], 'F': ['P08151'], 'H': ['P08151']}","['C', 'A', 'B', 'E', 'D', 'G', 'F', 'H']",24311597,P 1 21 1,02-MAY-13,
4BLD,2.8,X-RAY DIFFRACTION,10.1107/S0907444913028473,"['ZN', 'MAL']","{'A': ['P0AEX9', 'Q9UMX1'], 'C': ['P0AEX9', 'Q9UMX1'], 'B': ['P0AEX9', 'Q9UMX1'], 'E': ['P10071'], 'D': ['P0AEX9', 'Q9UMX1'], 'G': ['P10071'], 'F': ['P10071'], 'H': ['P10071']}","['C', 'A', 'B', 'E', 'D', 'G', 'F', 'H']",24311597,P 1 21 1,02-MAY-13,
4BNP,2.0,X-RAY DIFFRACTION,10.1002/CBIC.201400040,"['SO4', 'MG', 'ICT']",{'A': ['P08200']},['A'],24797066,P 43 21 2,16-MAY-13,"[('A', ['1.1.1.42'])]"
4BPD,3.3,X-RAY DIFFRACTION,10.1007/S00018-014-1655-7,"['78M', 'ZN']","{'A': ['P0ABN1'], 'C': ['P0ABN1'], 'B': ['P0ABN1'], 'E': ['P0ABN1'], 'D': ['P0ABN1'], 'F': ['P0ABN1']}","['C', 'A', 'B', 'E', 'D', 'F']",25012698,P 21 21 21,24-MAY-13,"[('C', ['2.7.1.107']), ('A', ['2.7.1.107']), ('B', ['2.7.1.107']), ('E', ['2.7.1.107']), ('D', ['2.7.1.107']), ('F', ['2.7.1.107'])]"
4BRB,2.55,X-RAY DIFFRACTION,10.1038/SREP05806,"['ACT', '78N', 'FLC', 'ZN']","{'A': ['P0ABN1'], 'C': ['P0ABN1'], 'B': ['P0ABN1'], 'E': ['P0ABN1'], 'D': ['P0ABN1'], 'F': ['P0ABN1']}","['C', 'A', 'B', 'E', 'D', 'F']",25055873,P 21 21 21,04-JUN-13,"[('C', ['2.7.1.107']), ('A', ['2.7.1.107']), ('B', ['2.7.1.107']), ('E', ['2.7.1.107']), ('D', ['2.7.1.107']), ('F', ['2.7.1.107'])]"
4BRR,2.44,X-RAY DIFFRACTION,,"['ACT', 'FLC', 'ZN', '79M']","{'A': ['P0ABN1'], 'C': ['P0ABN1'], 'B': ['P0ABN1'], 'E': ['P0ABN1'], 'D': ['P0ABN1'], 'F': ['P0ABN1']}","['C', 'A', 'B', 'E', 'D', 'F']",,P 21 21 21,05-JUN-13,"[('C', ['2.7.1.107']), ('A', ['2.7.1.107']), ('B', ['2.7.1.107']), ('E', ['2.7.1.107']), ('D', ['2.7.1.107']), ('F', ['2.7.1.107'])]"
4BWL,2.0,X-RAY DIFFRACTION,10.1021/CB500067Z,"['1PE', 'MN9', 'KPI', 'SI3']","{'A': ['P0A6L4'], 'C': ['P0A6L4'], 'B': ['P0A6L4'], 'D': ['P0A6L4']}","['A', 'C', 'B', 'D']",24521460,P 1 21 1,03-JUL-13,"[('A', ['4.1.3.3']), ('C', ['4.1.3.3']), ('B', ['4.1.3.3']), ('D', ['4.1.3.3'])]"
4C48,3.3,X-RAY DIFFRACTION,10.1038/NATURE13205,"['NI', 'LMT']","{'A': ['P31224'], 'C': ['P0AAW9'], 'B': ['PDB-B']}","['A', 'C', 'B']",24747401,H 3 2,02-SEP-13,
4C5A,1.65,X-RAY DIFFRACTION,,"['DS0', 'GOL', 'ADP', 'MG']","{'A': ['P07862'], 'C': ['PDB-C'], 'B': ['P07862']}","['A', 'C', 'B']",,P 21 21 21,10-SEP-13,"[('A', ['6.3.2.4']), ('B', ['6.3.2.4'])]"
4C5B,1.5,X-RAY DIFFRACTION,,"['DAL', 'GOL', 'IMD', 'ADP', 'MG', 'CO3']","{'A': ['P07862'], 'B': ['P07862']}","['A', 'B']",,P 21 21 21,10-SEP-13,"[('A', ['6.3.2.4']), ('B', ['6.3.2.4'])]"
4C5C,1.4,X-RAY DIFFRACTION,,"['GOL', 'MG', 'DAL', 'ATP']","{'A': ['P07862'], 'B': ['P07862']}","['A', 'B']",,P 21 21 21,10-SEP-13,"[('A', ['6.3.2.4']), ('B', ['6.3.2.4'])]"
4C5F,2.34,X-RAY DIFFRACTION,10.1021/CB500439C,,"{'A': ['P0C066'], 'B': ['P0C066']}","['A', 'B']",24988330,P 1 21 1,11-SEP-13,"[('A', ['4.2.2.-']), ('B', ['4.2.2.-'])]"
4CDI,3.7,X-RAY DIFFRACTION,10.1038/NATURE13205,,"{'A': ['P31224'], 'C': ['A0A0J9X1A9']}","['A', 'C']",24747401,H 3 2,31-OCT-13,
4CFO,2.9,X-RAY DIFFRACTION,10.1021/CB500439C,"['NM6', 'NAG', 'NM9']","{'A': ['P0C066'], 'B': ['P0C066']}","['A', 'B']",24988330,P 1 21 1,19-NOV-13,
4CFP,2.15,X-RAY DIFFRACTION,10.1021/CB500439C,"['NAG', 'P6G', 'CIT', 'AMU', 'AMV']","{'A': ['P0C066'], 'B': ['P0C066']}","['A', 'B']",24988330,P 1 21 1,19-NOV-13,"[('A', ['4.2.2.-']), ('B', ['4.2.2.-'])]"
4CHX,2.45,X-RAY DIFFRACTION,10.1021/CB500439C,"['NAG', 'AH0', 'DAL', 'DGL', 'API']","{'A': ['P0C066'], 'C': ['PDB-C'], 'B': ['P0C066']}","['A', 'C', 'B']",24988330,P 1 21 1,04-DEC-13,"[('A', ['4.2.2.-']), ('B', ['4.2.2.-'])]"
4CJZ,3.25,X-RAY DIFFRACTION,,['OLC'],"{'A': ['P0ABN1'], 'C': ['P0ABN1'], 'B': ['P0ABN1']}","['A', 'C', 'B']",,P 31 2 1,23-DEC-13,"[('A', ['2.7.1.107']), ('C', ['2.7.1.107']), ('B', ['2.7.1.107'])]"
4CK0,2.92,X-RAY DIFFRACTION,,"['ZN', 'OLC', 'ACP']","{'A': ['P0ABN1'], 'C': ['P0ABN1'], 'B': ['P0ABN1']}","['A', 'C', 'B']",,P 31 2 1,23-DEC-13,"[('A', ['2.7.1.107']), ('C', ['2.7.1.107']), ('B', ['2.7.1.107'])]"
4CKD,13.0,ELECTRON MICROSCOPY,10.1016/J.STR.2014.01.011,,"{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722'], 'I': ['P01823'], 'H': ['P01823'], 'K': ['P01823'], 'J': ['P01823'], 'M': ['P01642'], 'L': ['P01642'], 'O': ['P01642'], 'N': ['P01642']}","['A', 'C', 'B', 'D', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N']",24613486,P 1,03-JAN-14,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
4CQN,2.5,X-RAY DIFFRACTION,10.15252/EMBJ.201488199,"['ILA', 'ZN', 'MG']","{'A': ['P07813'], 'B': ['PDB-B'], 'E': ['PDB-E'], 'D': ['P07813']}","['A', 'B', 'E', 'D']",24935946,C 1 2 1,20-FEB-14,"[('A', ['6.1.1.4']), ('D', ['6.1.1.4'])]"
4CRY,1.61,X-RAY DIFFRACTION,,"['ACO', 'CSO', 'CL', 'MG']","{'A': ['P0A790'], 'B': ['P37613'], 'G': ['P0A790']}","['A', 'B', 'G']",,I 4,02-MAR-14,"[('A', ['4.1.1.11']), ('G', ['4.1.1.11'])]"
4CRZ,1.7,X-RAY DIFFRACTION,10.1016/J.CHEMBIOL.2015.03.017,"['CSO', 'SCN', 'ACO', 'MG']","{'A': ['P0A790'], 'B': ['P37613']}","['A', 'B']",25910242,I 4,02-MAR-14,"[('A', ['4.1.1.11'])]"
4CS0,2.1,X-RAY DIFFRACTION,10.1016/J.CHEMBIOL.2015.03.017,"['CSO', 'SCN', 'ACO', 'MG']","{'A': ['P0A790'], 'B': ['P37613']}","['A', 'B']",25910242,I 4,02-MAR-14,"[('A', ['4.1.1.11'])]"
4CTD,3.2,X-RAY DIFFRACTION,10.1021/BI500660Q,"['C8E', 'CL']","{'A': ['P76045'], 'B': ['P76045']}","['A', 'B']",24988371,P 1,13-MAR-14,
4CVQ,2.11,X-RAY DIFFRACTION,10.1371/JOURNAL.PONE.0102139,"['GOL', 'PLP', 'ACT']","{'A': ['P0A959'], 'B': ['P0A959']}","['A', 'B']",25014014,C 2 2 21,28-MAR-14,"[('A', ['2.6.1.2']), ('B', ['2.6.1.2'])]"
4D02,1.76,X-RAY DIFFRACTION,10.1074/JBC.M114.579086,"['FE', 'GOL', 'CL', 'PO4', 'O', 'FMN']",{'A': ['Q46877']},['A'],25151360,P 6 2 2,23-APR-14,
4D2E,2.28,X-RAY DIFFRACTION,10.1007/S00018-014-1655-7,"['78M', 'FLC', '78N', 'NA', 'ZN']","{'A': ['P0ABN1'], 'C': ['P0ABN1'], 'B': ['P0ABN1'], 'E': ['P0ABN1'], 'D': ['P0ABN1'], 'F': ['P0ABN1']}","['C', 'A', 'B', 'E', 'D', 'F']",25012698,P 21 21 21,09-MAY-14,"[('C', ['2.7.1.107']), ('A', ['2.7.1.107']), ('B', ['2.7.1.107']), ('E', ['2.7.1.107']), ('D', ['2.7.1.107']), ('F', ['2.7.1.107'])]"
4D5U,3.5,X-RAY DIFFRACTION,10.1016/J.BBAMEM.2015.11.021,,"{'A': ['P02931'], 'C': ['P02931'], 'B': ['P02931'], 'E': ['P02931'], 'D': ['P02931'], 'F': ['P02931']}","['A', 'C', 'B', 'F', 'D', 'E']",26620074,I 1 2 1,07-NOV-14,
4D9G,2.45,X-RAY DIFFRACTION,10.1074/JBC.M112.351809,"['IT1', 'MSE', 'TRS', 'CME']","{'A': ['P66899'], 'B': ['P66899']}","['A', 'B']",22505717,P 43 21 2,11-JAN-12,"[('A', ['4.3.1.15']), ('B', ['4.3.1.15'])]"
4D9I,2.0,X-RAY DIFFRACTION,10.1074/JBC.M112.351809,"['IT1', 'TRS']","{'A': ['P66899'], 'B': ['P66899']}","['A', 'B']",22505717,P 43 21 2,11-JAN-12,"[('A', ['4.3.1.15']), ('B', ['4.3.1.15'])]"
4D9K,2.19,X-RAY DIFFRACTION,10.1074/JBC.M112.351809,"['CME', 'PO4', 'SO4']","{'A': ['P66899'], 'C': ['P66899'], 'B': ['P66899'], 'D': ['P66899']}","['A', 'C', 'B', 'D']",22505717,P 1 21 1,11-JAN-12,"[('A', ['4.3.1.15']), ('C', ['4.3.1.15']), ('B', ['4.3.1.15']), ('D', ['4.3.1.15'])]"
